city,lat,lng,max_temp,humidity,cloudiness,windspeed
Sume,43.62,20.22,23.0,100,75,1.12
Yulara,-25.24,130.99,77.0,61,100,11.41
Savannah Bight,16.45,-85.85,78.8,77,88,17.49
Cananeia,-25.01,-47.93,73.33,93,7,2.21
Maraa,-1.83,-65.37,80.37,80,80,0.49
Springdale,36.19,-94.13,55.4,37,1,12.75
Shenjiamen,29.96,122.3,61.84,93,55,23.09
Te Anau,-45.41,167.72,47.44,89,96,5.39
Sekoma,-24.51,23.93,71.02,69,100,4.85
Baherden,38.44,57.43,35.17,81,62,3.44
Baykit,61.68,96.39,3.22,97,79,3.24
Ust-Kuyga,70.0,135.55,-23.22,94,0,7.78
Umm Lajj,25.02,37.27,53.62,66,0,5.48
Artyom,43.36,132.19,17.6,78,75,4.47
Kargopol,61.51,38.95,22.84,94,100,6.85
Mangaldai,26.43,92.03,54.09,83,72,6.67
Rio Cuarto,-33.13,-64.35,73.4,40,0,3.36
Nemuro,43.32,145.57,29.89,72,10,21.74
Mende,44.52,3.5,31.3,95,46,2.64
Verkhnevilyuysk,63.45,120.31,16.7,94,100,7.61
Santa Cruz,-6.22,-36.02,75.06,81,86,5.28
Kedrovyy,56.17,91.82,12.2,85,0,4.97
Gwadar,25.12,62.33,74.71,70,17,12.82
Bellevue,50.05,10.19,30.99,100,1,3.36
Poya,-21.35,165.16,75.92,82,41,17.11
Comodoro Rivadavia,-45.87,-67.48,62.6,55,44,13.87
Rorvik,64.86,11.24,45.0,81,96,1.99
Aswan,24.09,32.9,46.31,49,0,4.43
San Cristobal,14.68,-86.92,63.18,91,79,5.88
Srikakulam,18.29,83.89,61.81,83,0,3.87
Vaitape,-16.52,-151.75,82.33,78,68,15.01
Mahemdavad,22.82,72.75,68.0,64,40,3.36
Mackay,53.65,-115.58,23.0,73,20,2.24
Kaeng Khoi,14.59,101.0,77.0,87,0,1.81
Mandera,3.94,41.86,86.31,46,39,13.78
Khunti,23.08,85.28,53.26,54,0,3.18
Denpasar,-8.65,115.22,82.4,88,40,9.17
Port Macquarie,-31.43,152.91,87.01,65,58,8.05
Miri,10.31,9.75,65.07,35,0,6.15
Ixtapa,20.71,-105.21,79.0,57,40,8.05
Darhan,49.49,105.92,-3.8,88,22,4.34
Ceyhan,37.03,35.82,50.0,81,75,10.29
Yekaterinovka,46.69,38.75,35.92,89,100,7.65
Troitsko-Pechorsk,62.71,56.19,5.29,92,72,6.42
Beyneu,45.32,55.19,25.39,78,11,1.5
Tezu,27.93,96.16,49.08,66,90,2.64
Khudaganj,28.19,79.75,56.68,60,100,3.56
Bismarck,46.81,-100.78,33.8,86,90,24.16
Birjand,32.86,59.22,26.6,92,0,4.7
Weyburn,49.67,-103.85,27.0,72,32,18.99
Nikolsk,59.53,45.45,15.04,96,100,6.82
Hirara,24.8,125.28,69.8,77,40,10.29
Utiel,39.57,-1.21,46.0,93,0,3.36
Conde,-11.81,-37.61,81.0,80,61,16.49
Newcastle,-32.93,151.78,75.2,83,75,4.7
Mirnyy,56.57,36.46,24.93,86,94,7.36
Kavieng,-2.57,150.8,84.72,69,75,2.89
Pine Bluff,34.23,-92.0,57.2,54,1,9.17
Merauke,-8.49,140.4,84.4,74,92,6.53
Kholodnyy,62.72,147.95,-25.73,100,0,2.62
Sungairaya,0.7,108.9,76.59,87,94,2.91
Tura,64.27,100.22,9.12,88,100,5.66
Rawson,-43.3,-65.11,58.68,63,1,12.62
Yerbogachen,61.28,108.01,15.69,92,100,10.45
Hammerfest,70.66,23.68,35.6,80,90,12.75
Kalianget,-7.35,109.91,77.0,94,40,3.36
